Date,Close,new_cases,new_deaths,pneumonia_mean,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index,mask_use_mean,mobility_mean,total_boosters,total_vaccinations,new_vaccinations,cumulative_all_vaccinated,cumulative_all_fully_vaccinated,cumulative_all_effectively_vaccinated,infection_fatality,infection_detection,infection_hospitalization
2020-03-02,5361.246094,2.0,0.0,0.9586,0.0,0.0,0.0,0.0,28.7,0.0,2.4519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224
2020-03-03,5518.62793,0.0,0.0,0.9597,0.0,0.0,0.0,0.0,37.04,0.0,2.7448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243
2020-03-04,5650.13623,0.0,0.0,0.9602,0.0,0.0,0.0,0.0,37.04,0.0,2.9966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232
2020-03-05,5638.129883,0.0,0.0,0.9609,0.0,0.0,0.0,0.0,37.04,0.0,3.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201
2020-03-06,5498.540039,2.0,0.0,0.9622,0.0,0.0,0.0,0.0,37.04,0.0,3.3219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0144
2020-03-09,5136.809082,13.0,0.0,0.9662,0.0,0.0,0.0,0.0,37.04,0.0,2.9423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0116
2020-03-10,5220.826172,8.0,0.0,0.9676,0.0,0.0,0.0,0.0,37.04,0.0,2.4237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0121
2020-03-11,5154.10498,7.0,1.0,0.9683,0.0,0.0,0.0,0.0,37.04,0.0,1.6234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0131
2020-03-12,4895.748047,0.0,0.0,0.969,0.0,0.0,0.0,0.0,37.04,0.0,0.4929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0135
2020-03-13,4907.570801,35.0,3.0,0.9706,0.0,0.0,0.0,0.0,37.04,0.0,-1.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0133
2020-03-16,4690.657227,17.0,0.0,0.9753,2.06,0.0,0.0,0.0,45.37,0.0001,-7.5712,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0042,0.0134
2020-03-17,4456.749023,38.0,0.0,0.9769,2.14,0.0,0.0,0.0,42.59,0.0002,-10.2871,0.0,0.0,0.0,0.0,0.0,0.0,0.0226,0.0046,0.0132
2020-03-18,4330.673828,55.0,14.0,0.9777,2.22,0.0,0.0,0.0,42.59,0.0004,-13.1418,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0048,0.0125
2020-03-19,4105.421875,84.0,6.0,0.9785,2.23,0.0,0.0,0.0,45.37,0.001,-16.0573,0.0,0.0,0.0,0.0,0.0,0.0,0.0164,0.0051,0.012
2020-03-20,4194.943848,58.0,7.0,0.9803,2.1,0.0,0.0,0.0,45.37,0.0022,-18.9602,0.0,0.0,0.0,0.0,0.0,0.0,0.0129,0.0053,0.0116
2020-03-23,3989.51709,65.0,1.0,0.9856,1.88,0.0,0.0,0.0,48.15,0.0178,-26.9401,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0061,0.0121
2020-03-24,3937.63208,107.0,6.0,0.9874,1.85,0.0,0.0,0.0,48.15,0.0312,-29.1458,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0063,0.0125
2020-03-26,4338.903809,103.0,20.0,0.9893,1.7,0.0,0.0,0.0,48.15,0.0779,-32.5831,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.006,0.0129
2020-03-27,4545.570801,153.0,9.0,0.9912,1.69,0.0,0.0,0.0,48.15,0.1106,-33.8085,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0059,0.013
2020-03-30,4414.5,129.0,8.0,0.9971,1.52,0.0,0.0,0.0,50.93,0.2043,-35.9978,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0051,0.0116
2020-03-31,4538.930176,114.0,14.0,0.999,1.43,0.0,0.0,0.0,50.93,0.2293,-36.3982,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.005,0.0111
2020-04-01,4466.037109,149.0,21.0,1.0,1.4,0.0,0.0,0.0,50.93,0.255,-36.7054,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.005,0.0107
2020-04-02,4531.685059,113.0,13.0,1.001,1.36,0.0,0.0,0.0,50.93,0.2812,-36.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0051,0.0105
2020-04-03,4623.429199,196.0,11.0,1.0031,1.41,0.0,0.0,0.0,50.93,0.3072,-37.1716,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0055,0.0106
2020-04-06,4811.827148,218.0,11.0,1.0095,1.58,0.0,0.0,0.0,50.93,0.3834,-37.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0071,0.0113
2020-04-07,4778.63916,247.0,12.0,1.0116,1.58,0.0,0.0,0.0,60.65,0.4077,-37.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0075,0.0114
2020-04-08,4626.694824,218.0,19.0,1.0126,1.55,0.0,0.0,0.0,60.65,0.4319,-38.1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0078,0.0114
2020-04-09,4649.079102,337.0,40.0,1.0137,1.55,0.0,0.0,0.0,60.65,0.4558,-38.3172,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0085,0.0118
2020-04-13,4623.894043,316.0,26.0,1.0226,1.45,0.0,0.0,0.0,71.76,0.544,-38.1223,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0089,0.0105
2020-04-14,4706.491211,282.0,60.0,1.0249,1.35,0.0,0.0,0.0,71.76,0.5638,-37.9209,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0094,0.0105
