Date,Open,High,Low,Close,Adj Close,Volume,location_id,version_name,location_name,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,reff_mean,reff_lower,reff_upper,cumulative_deaths,daily_deaths,cumulative_cases,cumulative_hospitalizations,cumulative_deaths_unscaled,daily_deaths_unscaled,daily_cases,population,mobility_mean,mobility_obs,testing_mean,testing_lower,testing_upper,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,cumulative_all_vaccinated,cumulative_all_fully_vaccinated,cumulative_all_effectively_vaccinated,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,all_bed_capacity,icu_bed_capacity,infection_fatality,infection_detection,infection_hospitalization,aged_65_older,aged_70_older,cardiovasc_death_rate,continent,diabetes_prevalence,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,extreme_poverty,female_smokers,gdp_per_capita,handwashing_facilities,hosp_patients,hosp_patients_per_million,hospital_beds_per_thousand,human_development_index,icu_patients,icu_patients_per_million,iso_code,life_expectancy,location,male_smokers,median_age,new_cases,new_cases_per_million,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths,new_deaths_per_million,new_deaths_smoothed,new_deaths_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,new_vaccinations,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred,people_vaccinated,people_vaccinated_per_hundred,population_density,positive_rate,reproduction_rate,stringency_index,tests_per_case,tests_units,total_boosters,total_boosters_per_hundred,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,total_vaccinations_per_hundred,weekly_hosp_admissions,weekly_hosp_admissions_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million
2020-03-02,5455.045898,5491.134766,5354.620117,5361.246094,5361.246094,40235000,11,reference,Indonesia,8619.51,14214.31,3168.1,0.0,0.0,0.0,68572.07,37037.25,107211.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.45,4.18,0.0,0.0,2.0,,0.0,0.0,2.0,259465835.493022,2.4519,1,0.3164,0.3164,0.3164,1,0.9586,0,0.0,1,,,,66.02,192.25,16.56,24.74,72.05,6.21,20.73,55.11,3.8,224864.0,7085.0,,0.0,0.0224,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,2.0,0.007,,,,,,,,,,,,,,,,,,,,145.725,,,28.7,,,,,2.0,0.007,,,,,,,,,,
2020-03-03,5431.295898,5545.773926,5431.295898,5518.62793,5518.62793,42974300,11,reference,Indonesia,9743.26,16246.1,3826.79,0.0,0.0,0.0,78315.34,41576.48,122056.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,1.48,3.98,0.0,0.0,2.0,,0.0,0.0,0.0,259465835.493022,2.7448,1,0.338,0.338,0.338,1,0.9597,0,0.0,1,,,,93.24,257.69,24.86,34.39,95.05,9.17,28.61,68.78,8.72,224864.0,7085.0,,0.0,0.0243,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,2.0,0.007,,,,,,,,,,
2020-03-04,5524.094238,5651.85498,5516.805176,5650.13623,5650.13623,45255400,11,reference,Indonesia,10799.22,17493.18,4371.5,0.0,0.0,0.0,89114.56,46606.77,139739.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,1.45,4.5,0.0,0.0,2.0,,0.0,0.0,0.0,259465835.493022,2.9966,1,0.361,0.361,0.361,1,0.9602,0,0.0,1,,,,127.5,332.73,40.02,46.37,121.01,14.56,36.01,78.88,15.13,224864.0,7085.0,,0.0,0.0232,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,2.0,0.007,,,,,,,,,,
2020-03-05,5688.778809,5715.940918,5613.719238,5638.129883,5638.129883,40684000,11,reference,Indonesia,11856.81,19415.9,4713.79,0.0,0.0,0.0,100971.37,50995.84,159184.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,1.35,4.76,0.0,0.0,2.0,,0.0,0.0,0.0,259465835.493022,3.196,1,0.3852,0.3852,0.3852,1,0.9609,0,0.0,1,,,,167.1,413.91,58.83,59.84,148.23,21.07,41.63,85.34,18.16,224864.0,7085.0,,0.0,0.0201,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,2.0,0.007,,,,,,,,,,
2020-03-06,5575.565918,5577.801758,5498.540039,5498.540039,5498.540039,32430900,11,reference,Indonesia,12847.46,21258.33,5222.62,0.0,0.0,0.0,113818.83,55895.46,175433.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,1.67,2.38,1.26,4.52,0.0,0.0,4.0,,0.0,0.0,2.0,259465835.493022,3.3219,1,0.4107,0.4107,0.4107,1,0.9622,0,0.0,1,,,,205.15,485.83,77.61,72.41,171.48,27.39,40.28,76.63,16.74,224864.0,7085.0,,0.0006,0.0144,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,2.0,0.007,,,,,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,4.0,0.014,,,,,,,,,,
2020-03-09,5364.604004,5364.604004,5133.150879,5136.809082,5136.809082,42737600,11,reference,Indonesia,15763.22,28280.24,6985.48,0.65,0.44,0.93,157963.98,73704.19,243047.48,0.65,0.44,0.93,0.15,0.15,0.15,0.15,0.15,0.15,4.6,4.6,4.6,2.01,1.11,3.2,0.0,0.0,19.0,,0.0,0.0,13.0,259465835.493022,2.9423,1,0.4926,0.4926,0.4926,1,0.9662,0,0.0,1,,,,331.01,720.57,147.83,112.53,244.97,50.26,48.6,90.7,20.76,224864.0,7085.0,inf,0.0012,0.0116,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,13.0,0.047,2.429,0.009,,,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,19.0,0.069,,,,,,,,,,
2020-03-10,5149.493164,5278.422852,5149.452148,5220.826172,5220.826172,44495700,11,reference,Indonesia,16981.76,30583.18,7184.01,2.23,1.49,3.22,174945.74,80931.39,272063.06,1.58,1.05,2.28,0.36,0.36,0.37,0.51,0.51,0.52,6.96,6.96,6.96,1.9,1.01,3.17,0.0,0.0,27.0,,0.0,0.0,8.0,259465835.493022,2.4237,1,0.5213,0.5213,0.5213,1,0.9676,0,0.0,1,,,,378.3,814.44,176.33,127.55,274.61,59.45,53.6,100.17,23.13,224864.0,7085.0,inf,0.0017,0.0121,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,8.0,0.029,3.571,0.013,,,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,27.0,0.098,,,,,,,,,,
2020-03-11,5231.608887,5264.47998,5112.318848,5154.10498,5154.10498,46650100,11,reference,Indonesia,18697.79,33094.35,7860.49,5.04,3.36,7.3,193643.53,88984.74,304992.45,2.81,1.87,4.09,0.65,0.65,0.65,1.16,1.16,1.17,11.24,11.24,11.24,1.85,1.05,2.89,4.33,4.33,34.0,,1.0,1.0,7.0,259465835.493022,1.6234,1,0.5504,0.5504,0.5504,1,0.9683,0,0.0,1,,,,433.61,916.69,211.29,144.48,305.46,70.4,63.01,121.23,26.91,224864.0,7085.0,inf,0.0025,0.0131,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,7.0,0.025,4.571,0.017,1.0,0.004,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,34.0,0.123,1.0,0.004,,,,,,,,
2020-03-12,5040.964844,5040.987793,4895.748047,4895.748047,4895.748047,36992900,11,reference,Indonesia,20607.15,35247.26,8377.71,8.16,5.43,11.84,214250.69,98163.7,340818.84,3.12,2.07,4.54,0.72,0.72,0.72,1.89,1.88,1.9,14.53,14.53,14.53,1.84,1.1,2.63,4.33,0.0,34.0,,1.0,0.0,0.0,259465835.493022,0.4929,1,0.5799,0.5799,0.5799,1,0.969,0,0.0,1,,,,495.36,1020.23,243.47,163.28,336.29,80.25,72.26,138.64,30.17,224864.0,7085.0,inf,0.0029,0.0135,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,0.0,0.0,4.571,0.017,0.0,0.0,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,34.0,0.123,1.0,0.004,,,,,,,,
2020-03-13,4895.748047,4937.993164,4639.914063,4907.570801,4907.570801,46288600,11,reference,Indonesia,22675.55,38196.51,9276.28,11.29,7.5,16.38,236926.23,108313.24,379361.72,3.12,2.07,4.54,0.72,0.72,0.72,2.61,2.6,2.62,16.17,16.17,16.17,1.86,1.12,2.41,17.33,12.99,69.0,,4.0,3.0,35.0,259465835.493022,-1.0007,1,0.6095,0.6095,0.6095,1,0.9706,0,0.0,1,,,,560.65,1121.01,276.32,182.92,365.74,90.15,79.94,155.85,32.19,224864.0,7085.0,inf,0.0029,0.0133,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,35.0,0.127,9.286,0.034,3.0,0.011,,,,,,,,,,,,,,,,145.725,,,37.04,,,,,69.0,0.25,4.0,0.014,,,,,,,,
2020-03-16,4907.570801,4907.570801,4677.75,4690.657227,4690.657227,30471900,11,reference,Indonesia,28646.63,43821.08,11812.81,34.58,22.91,50.28,317333.6,142921.41,506347.44,13.02,8.61,18.96,3.01,3.0,3.01,7.99,7.97,8.01,33.6,33.6,33.6,1.95,1.44,2.55,21.66,0.0,134.0,,5.0,0.0,17.0,259465835.493022,-7.5712,1,0.699,0.699,0.699,1,0.9753,0,0.0001,1,,,,745.24,1392.27,359.26,236.39,441.63,113.96,116.07,230.5,47.65,224864.0,7085.0,0.024,0.0042,0.0134,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,17.0,0.062,16.429,0.059,0.0,0.0,,,,,,,,,,,,,,,,145.725,,2.06,45.37,,,,,134.0,0.485,5.0,0.018,,,,,,,,
2020-03-17,4690.657227,4698.043945,4447.956055,4456.749023,4456.749023,30662200,11,reference,Indonesia,30020.2,44870.34,12017.04,50.7,33.56,73.75,347353.8,154938.45,550804.16,16.12,10.65,23.47,3.72,3.72,3.72,11.71,11.69,11.74,41.24,41.24,41.24,1.93,1.37,2.56,21.66,0.0,172.0,,5.0,0.0,38.0,259465835.493022,-10.2871,1,0.7287,0.7287,0.7287,1,0.9769,0,0.0002,1,,,,806.96,1460.76,373.87,250.92,454.22,116.25,128.48,265.35,49.13,224864.0,7085.0,0.0226,0.0046,0.0132,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,38.0,0.138,20.714,0.075,0.0,0.0,0.714,0.003,,,,,,,,,,,,,,145.725,,2.14,42.59,,,,,172.0,0.622,5.0,0.018,,,,,,,,
